"battery_level","version_name","device_id","timestamp"
0.27,"1.91.2",12853,2018-09-21 08:17:25
0.28,"1.91.2",12853,2018-09-21 08:15:55
0.29,"1.91.2",12853,2018-09-21 08:15:25
0.30,"1.91.2",12853,2018-09-21 08:14:55
0.31,"1.91.2",12853,2018-09-21 08:14:25
0.32,"1.91.2",12853,2018-09-21 08:13:55
0.33,"1.91.2",12853,2018-09-21 08:12:54
0.34,"1.91.2",12853,2018-09-21 08:12:09
0.35,"1.91.2",12853,2018-09-21 08:11:39
0.36,"1.91.2",12853,2018-09-21 08:10:39
0.37,"1.91.2",12853,2018-09-21 08:09:54
0.38,"1.91.2",12853,2018-09-21 08:09:09
0.39,"1.91.2",12853,2018-09-21 08:08:24
0.40,"1.91.2",12853,2018-09-21 08:07:54
0.41,"1.91.2",12853,2018-09-21 08:06:53
0.42,"1.91.2",12853,2018-09-21 08:06:08
0.43,"1.91.2",12853,2018-09-21 08:05:23
0.44,"1.91.2",12853,2018-09-21 08:04:38
0.45,"1.91.2",12853,2018-09-21 08:03:08
0.46,"1.91.2",12853,2018-09-21 08:02:23
0.47,"1.91.2",12853,2018-09-21 08:01:38
0.48,"1.91.2",12853,2018-09-21 08:00:53
0.49,"1.91.2",12853,2018-09-21 08:00:07
0.50,"1.91.2",12853,2018-09-21 07:59:22
0.51,"1.91.2",12853,2018-09-21 07:58:52
0.52,"1.91.2",12853,2018-09-21 07:58:22
0.53,"1.91.2",12853,2018-09-21 07:57:52
0.54,"1.91.2",12853,2018-09-21 07:57:22
0.55,"1.91.2",12853,2018-09-21 07:56:52
0.56,"1.91.2",12853,2018-09-21 07:56:22
0.57,"1.91.2",12853,2018-09-21 07:55:52
0.58,"1.91.2",12853,2018-09-21 07:55:22
0.80,"1.93.0",18976,2018-09-22 16:34:58
0.79,"1.93.0",18976,2018-09-22 16:47:35
0.26,"1.94.0",22029,2018-10-12 17:05:57
0.44,"1.94.0",22029,2018-10-12 23:15:08
0.43,"1.94.0",22029,2018-10-12 23:17:08
0.42,"1.94.0",22029,2018-10-12 23:19:20
0.03,"1.93.0",22653,2018-10-11 07:22:02
0.02,"1.93.0",22653,2018-10-11 07:22:32
0.01,"1.93.0",22653,2018-10-11 07:23:32
0.28,"1.93.0",22653,2018-10-11 23:51:10
0.27,"1.93.0",22653,2018-10-11 23:51:40
0.26,"1.93.0",22653,2018-10-11 23:52:40
0.25,"1.93.0",22653,2018-10-11 23:53:10
0.24,"1.93.0",22653,2018-10-11 23:54:10
0.23,"1.93.0",22653,2018-10-11 23:54:40
0.22,"1.93.0",22653,2018-10-11 23:55:40
0.21,"1.93.0",22653,2018-10-11 23:56:10
0.20,"1.93.0",22653,2018-10-11 23:56:40
0.19,"1.93.0",22653,2018-10-11 23:57:40
0.18,"1.93.0",22653,2018-10-11 23:58:10
0.17,"1.93.0",22653,2018-10-11 23:58:40
0.16,"1.93.0",22653,2018-10-11 23:59:10
0.15,"1.93.0",22653,2018-10-11 23:59:40
0.14,"1.93.0",22653,2018-10-12 00:00:40
0.13,"1.93.0",22653,2018-10-12 00:01:10
0.12,"1.93.0",22653,2018-10-12 00:02:10
0.11,"1.93.0",22653,2018-10-12 00:02:40
0.59,"1.94.0",22653,2018-10-14 04:39:45
0.58,"1.94.0",22653,2018-10-14 04:40:32
0.55,"1.94.0",22653,2018-10-14 04:42:19
0.30,"1.94.0",22653,2018-10-14 09:41:57
0.32,"1.94.0",22653,2018-10-14 09:40:16
0.34,"1.94.0",22653,2018-10-14 09:38:46
0.37,"1.94.0",22653,2018-10-14 09:36:44
0.40,"1.94.0",22653,2018-10-14 09:35:34
