Battery_Used,Version,ElapsedTimestamp
0.07,1.27.0,810
0.04,1.27.0,120
0.03,1.27.0,90
0.01,1.27.0,76
0.01,1.27.0,30
0.01,1.27.0,19
0.01,1.27.0,43
0.02,1.27.0,196
0.13,1.27.0,391
0.23,1.27.0,685
0.06,1.27.0,190
0.01,1.27.0,58
0.27,1.27.0,856
0.11,1.27.0,573
0.03,1.27.0,89
0.09,1.27.0,556
0.01,1.27.0,42
0.09,1.27.0,625
0.02,1.27.0,69
0.09,1.27.0,39707
0.08,1.27.0,299
0.01,1.27.0,57
0.02,1.27.0,6381
0.06,1.27.0,171
0.27,1.27.0,3277
0.02,1.27.0,161
0.1,1.27.0,805
0.17,1.27.0,853
0.07,1.27.0,549
0.12,1.27.0,805
0.1,1.27.0,751
0.01,1.27.0,60
0.01,1.27.0,22
0.08,1.27.0,547
0.08,1.27.0,678
0.01,1.27.0,5
0.11,1.27.0,2351
0.01,1.27.0,46
0.01,1.27.0,5
0.06,1.27.0,339
0.02,1.27.0,186
0.02,1.27.0,172
0.01,1.27.0,13626
0.05,1.27.0,602
0.04,1.27.0,1347
0.03,1.27.0,361
0.04,1.27.0,542
0.01,1.27.0,120
0.04,1.27.0,497
0.01,1.27.0,12224
0.02,1.27.0,27599
0.02,1.27.0,24224
0.01,1.27.0,155
0.01,1.27.0,100
0.02,1.27.0,2542
0.02,1.27.0,4841
0.02,1.27.0,120
0.05,1.27.0,280
0.02,1.27.0,1164
0.01,1.27.0,50
0.03,1.27.0,482
0.02,1.27.0,151
0.42,1.27.0,6260
0.02,1.27.0,120
0.08,1.27.0,665
0.05,1.27.0,301
0.09,1.27.0,363
0.23,1.27.0,752
0.06,1.27.0,331
0.18,1.27.0,5319
0.01,1.27.0,90
0.15,1.27.0,1143
0.08,1.27.0,629
0.4,1.27.0,960
0.51,1.27.0,631
0.01,1.27.0,70
0.08,1.27.0,11693
0.2,1.27.0,1360
0.34,1.27.0,2380
0.11,1.27.0,765
0.03,1.27.0,284
0.13,1.27.0,890
0.01,1.27.0,45
0.01,1.37.0,78
0.08,1.37.0,1234
0.02,1.37.0,461
0.26,1.37.0,6513
0.01,1.37.0,21
0.03,1.37.0,209
0.01,1.37.0,70
0.05,1.37.0,445
0.03,1.37.0,236
0.01,1.37.0,70
0.04,1.37.0,238
0.01,1.37.0,44
0.01,1.37.0,92
0.01,1.37.0,53
0.07,1.37.0,454
0.03,1.37.0,222
0.02,1.37.0,173
0.03,1.37.0,179
0.1,1.37.0,96
0.04,1.37.0,40
0.06,1.37.0,368
0.03,1.37.0,110
0.01,1.37.0,40
0.04,1.37.0,48
0.03,1.37.0,240
0.01,1.37.0,60
0.01,1.37.0,151
0.03,1.37.0,740
0.25,1.37.0,6723
0.01,1.37.0,240
0.06,1.37.0,1381
0.13,1.37.0,4770
0.02,1.37.0,570
0.02,1.37.0,1619
0.06,1.37.0,1710
0.01,1.37.0,270
0.27,1.37.0,6693
0.01,1.37.0,10
0.01,1.37.0,67
0.01,1.37.0,41
0.06,1.37.0,448
0.01,1.37.0,98
0.01,1.37.0,61
0.02,1.37.0,614
0.02,1.37.0,62
0.02,1.37.0,813
0.05,1.37.0,146
0.01,1.37.0,6
0.02,1.37.0,14
0.06,1.37.0,33786
0.01,1.37.0,36
0.03,1.37.0,155
0.01,1.37.0,181
0.01,1.37.0,466
0.02,1.37.0,60
0.01,1.37.0,157
0.02,1.37.0,268
0.06,1.37.0,3693
0.04,1.37.0,588
0.01,1.37.0,57
0.03,1.37.0,54
0.02,1.37.0,42
0.02,1.37.0,594
0.01,1.37.0,49488
0.01,1.37.0,222
0.01,1.37.0,16
0.01,1.37.0,88
0.03,1.37.0,570
0.14,1.37.0,1150
0.4,1.37.0,1355
0.15,1.37.0,724
0.01,1.37.0,14
0.04,1.37.0,15958
0.2,1.37.0,1959
0.18,1.37.0,1696
0.03,1.37.0,373
0.01,1.37.0,145
0.27,1.37.0,2068
0.12,1.37.0,1194
0.11,1.37.0,798
0.05,1.37.0,307
0.03,1.37.0,255
0.03,1.37.0,177
0.01,1.37.0,52
0.05,1.37.0,1747
0.04,1.37.0,257
0.54,1.37.0,830
0.05,1.37.0,47
0.07,1.37.0,490
0.63,1.37.0,2190
0.02,1.37.0,154
0.25,1.37.0,358
0.06,1.37.0,5853
0.27,1.37.0,1992
0.66,1.37.0,4878
0.12,1.37.0,840
0.02,1.37.0,243
0.14,1.37.0,1384
0.04,1.37.0,368
0.2,1.37.0,3159
0.42,1.37.0,4600
0.13,1.37.0,1303
0.11,1.37.0,1206
0.01,1.37.0,140
0.07,1.37.0,1060
0.04,1.37.0,415
0.02,1.37.0,228
0.01,1.37.0,23
0.12,1.37.0,1687
0.01,1.37.0,219
0.07,1.37.0,1008
0.03,1.37.0,649
0.01,1.37.0,95
0.02,1.37.0,203
0.03,1.37.0,255
0.06,1.37.0,1562
0.01,1.37.0,138
0.09,1.37.0,819
0.02,1.37.0,220
0.04,1.37.0,571
0.09,1.37.0,1479
0.04,1.37.0,121
0.03,1.37.0,479
0.01,1.37.0,27
0.01,1.37.0,199
0.01,1.37.0,194
0.04,1.37.0,472
0.15,1.37.0,1540
0.02,1.37.0,359
0.27,1.37.0,2393
0.09,1.37.0,757
0.45,1.37.0,3727
0.1,1.37.0,406
0.09,1.37.0,1425
0.25,1.37.0,3843
0.03,1.37.0,478
0.09,1.37.0,1212
0.11,1.37.0,1728
0.14,1.37.0,1909
0.27,1.37.0,4620
0.06,1.37.0,576
0.23,1.37.0,2850
0.07,1.37.0,424
0.05,1.37.0,91
0.27,1.37.0,3696
0.04,1.37.0,497
0.12,1.37.0,3782
0.02,1.37.0,122
0.04,1.37.0,577
0.02,1.37.0,20241
0.02,1.37.0,830
0.01,1.37.0,71
0.03,1.37.0,1362
0.02,1.37.0,947
0.03,1.37.0,761
0.01,1.37.0,3229
0.01,1.37.0,103
0.02,1.37.0,236
0.02,1.37.0,911
0.01,1.37.0,42
0.11,1.37.0,808
0.01,1.37.0,84
